q,a
"Из измерений параллакса, полученных во время миссии Hipparcos, известно, что звезда удалена на приблизительное расстояние в 57,3 св.г.","Из измерений параллакса, полученных во время миссии Hipparcos, известно, что звезда удалена на приблизительное расстояние в пятьдесят семь целых три десятых св.г."
"HD 165185 является аналогом Солнца, ещё не вышедшим на главную последовательность, имеющую спектральный класс G1 V.","HD 165185 является аналогом Солнца, ещё не вышедшим на главную последовательность, имеющую спектральный класс G1 V."
"Она быстро вращается: её скорость вращения — 7,53 км/с, а период вращения — 5,9 дня.","Она быстро вращается: её скорость вращения — семь целых пятьдесят три сотых км/с, а период вращения — пять целых девять десятых дня."
"Длина самой маленькой самки этого вида составила 7,9 мм, а самого крупного известного представителя — 10,3 мм.","Длина самой маленькой самки этого вида составила семи целых девяти десятых мм, а самого крупного известного представителя — десять целых три десятых мм."
"Является самым длинным городом Европы — линейное расстояние от крайней северной точки до южной по прямой составляет 66,1 км.",Является самым длинным городом Европы — линейное расстояние от крайней северной точки до южной по прямой составляет шестидесяти шести целых одной десятой км.
"Они обеспечены питательными веществами, содержат 4,5—4,9 % гумуса и распространены на водоразделах.","Они обеспечены питательными веществами, содержат четыре целых пять десятых—четыре целых девять десятых % гумуса и распространены на водоразделах."
"Лугово-чернозёмные почвы характеризуются высокими показателями содержания гумуса (5,9 %) и распространены на пойменных террасах рек.",Лугово-чернозёмные почвы характеризуются высокими показателями содержания гумуса (пять целых девять десятых %) и распространены на пойменных террасах рек.
"Из восьми кандидатов он занял второе место с 20,1 % голосов.",Из восьми кандидатов он занял второе место с двадцать целых одна десятая % голосов.
"Высота истока — 124,1 м над уровнем моря.",Высота истока — сто двадцать четыре целых одна десятая м над уровнем моря.
"Продвижение займа оказалось успешным, было собрано 26,3 миллиарда долларов, вдвое больше намеченного.","Продвижение займа оказалось успешным, было собрано двадцать шесть целых три десятых миллиарда долларов, вдвое больше намеченного."
"Тело очень мелкое (около 0,65 мм), коричневое.","Тело очень мелкое (около ноля целых шестидесяти пяти сотых мм), коричневое."
"Семенная продуктивность высока (по 2—2,5 тысяч семян в каждой коробочке).",Семенная продуктивность высока (по 2—две целых пять десятых тысяч семян в каждой коробочке).
"Среднегодовая скорость ветра составляет 3,6 м/с.",Среднегодовая скорость ветра составляет трёх целых шести десятых м/с.
Чрезвычайный и Полномочный Посол Республики Казахстан в Турецкой Республике (10.2010-10.2016);,Чрезвычайный и Полномочный Посол Республики Казахстан в Турецкой Республике (десять целых две тысячу десять десятитысячных-десять целых две тысячу шестнадцать десятитысячных);
Чрезвычайный и Полномочный Посол Республики Казахстан в Республике Албания по совместительству (03.2011-10.2016);,Чрезвычайный и Полномочный Посол Республики Казахстан в Республике Албания по совместительству (трём целых двум тысяче одиннадцати десятитысячных-десяти целых двум тысяче шестнадцати десятитысячных);
"Hodes, C. E. Beautiful Jay (Cyanolyca pulchra) // version 1.0.","Hodes, C. E. Beautiful Jay (Cyanolyca pulchra) // version одна целая ноль десятых."
"Поправка была одобрена 52,0% голосов избирателей.",Поправка была одобрена пятьдесят две целых ноль десятых% голосов избирателей.
— Версия 3.0.,— Версия три целых ноль десятых.
"Комета обладает довольно коротким периодом обращения вокруг Солнца — чуть более 9,81 года.",Комета обладает довольно коротким периодом обращения вокруг Солнца — чуть более девять целых восемьдесят одна сотая года.
"Текущие позиции кометы указывали, что прогноз требовал корректировки всего на −1,2 суток.","Текущие позиции кометы указывали, что прогноз требовал корректировки всего на −одной целой двух десятых суток."
"Занимает площадь 830,41 км².",Занимает площадь восьмисот тридцати целых сорока одной сотой км².
"(97,14 %)",(девяносто семь целых четырнадцать сотых %)
"(2,39 %)",(две целых тридцать девять сотых %)
"(0,27 %)",(ноль целых двадцать семь сотых %)
"(97,49 %)",(девяносто семь целых сорок девять сотых %)
"(0,48 %)",(ноль целых сорок восемь сотых %)
"(0,15 %)",(ноль целых пятнадцать сотых %)
"(0,13 %)",(ноль целых тринадцать сотых %)
"(1,75 %)",(одна целая семьдесят пять сотых %)
"Три самца были пойманы на мёртвых растениях вдоль русла ручья на высоте не более 0,5 метра над землёй.",Три самца были пойманы на мёртвых растениях вдоль русла ручья на высоте не более ноль целых пять десятых метра над землёй.
"Вес новорождённой составлял 3,2 килограмма.",Вес новорождённой составлял три целых две десятых килограмма.
"Среднегодовая температура воздуха — 2,6 °C.",Среднегодовая температура воздуха — две целых шесть десятых °C.
"выше по течению на расстоянии в 0,5 км расположено село Ивановка,","выше по течению на расстоянии в ноль целых пять десятых км расположено село Ивановка,"
"ниже по течению на расстоянии в 1,5 км расположен посёлок Правда,","ниже по течению на расстоянии в одну целую пять десятых км расположен посёлок Правда,"
"сиро-палестинский: 8,8 млн человек на западе Сирии, вдоль средиземноморского побережья.","сиро-палестинский: восемь целых восемь десятых млн человек на западе Сирии, вдоль средиземноморского побережья."
"месопотамский: 1,8 млн человек в основном в мухафазах Алеппо и Эр-Ракка.",месопотамский: одна целая восемь десятых млн человек в основном в мухафазах Алеппо и Эр-Ракка.
"На чемпионате мира в Турции баскетболистка показала второй командный результат, после Елены Левченко, по очкам (14,2), подборам (4,0) и передачам (2,8).","На чемпионате мира в Турции баскетболистка показала второй командный результат, после Елены Левченко, по очкам (четырнадцати целых двум десятых), подборам (четыре целых ноль десятых) и передачам (две целых восемь десятых)."
"Молекула является правильным тетраэдром, длина связи C—I составляет 2,155 Å.","Молекула является правильным тетраэдром, длина связи C—I составляет две целых сто пятьдесят пять тысячных Å."
